始発停留所	高尾	兼六園下（石川門）	高尾	高尾	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	金沢工業大学（正門前）	高尾	金沢工業大学（正門前）	高尾	高尾	高尾	金沢工業大学（正門前）	兼六園下（石川門）			
始発時間	07:05	07:06	07:20	07:50	08:20	08:43	09:14	09:50	10:13	11:07	12:07	12:31	13:12	14:15	15:13	16:10	16:55	17:03	17:37	18:00	18:30	19:04	19:24	20:15	21:02	21:30	22:18			
終点時間	08:07	07:54	07:52	08:58	08:52	09:47	10:14	10:22	11:11	12:07	13:11	13:31	14:12	15:13	16:13	17:08	17:47	18:07	18:39	19:04	19:34	20:06	20:28	21:15	21:55	22:17	22:56			
終点停留所	大野港（始発）	大野	金沢駅【降車場】	からくり記念館	金沢駅【降車場】	大野	大野	金沢駅【降車場】	大野港（始発）	大野	からくり記念館	大野	大野	大野港（始発）	大野	大野港（始発）	金石-A	大野	大野港（始発）	大野	大野	大野港（始発）	大野	大野	大野港（始発）	金石-A	大野			
備考						ノンステップバス	ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス			ノンステップバス		ノンステップバス				
観音堂-A	07:49	07:29		08:34		09:27	09:51		10:51	11:44	12:44	13:05	13:53	14:53	15:54	16:51	17:33	17:42	18:13	18:36	19:09	19:40	20:03	20:52	21:37	22:02	22:38			
寺中-A	07:51	07:31		08:36		09:29	09:53		10:53	11:46	12:46	13:07	13:55	14:55	15:56	16:53	17:35	17:44	18:15	18:38	19:11	19:42	20:05	20:54	21:39	22:04	22:40			
西警察署前-A	07:52	07:32		08:37		09:30	09:54		10:54	11:47	12:47	13:08	13:56	14:56	15:57	16:54	17:36	17:45	18:16	18:39	19:12	19:43	20:06	20:55	21:40	22:05	22:41			
金石-A	07:57	07:40		08:42		09:35	10:01		11:00	11:57	12:57	13:18	14:02	15:02	16:03	17:00	17:47	17:53	18:24	18:47	19:20	19:51	20:14	21:05	21:44	22:17	22:43			
金石西-A	-	07:42		-		09:37	10:03		-	11:59	-	13:20	14:04	-	16:05	-		17:55	-	18:49	19:22	-	20:16	21:07	-		22:45			
相生町-A	-	07:44		-		09:39	10:05		-	12:01	-	13:22	14:06	-	16:07	-		17:57	-	18:51	19:24	-	20:18	21:09	-		22:47			
相生住宅-A	-	07:45		-		09:40	10:06		-	12:02	-	13:23	14:07	-	16:08	-		17:58	-	18:52	19:25	-	20:19	21:10	-		22:48			
大野中央-A	-	07:46		-		09:41	10:07		-	12:03	-	13:24	14:08	-	16:09	-		17:59	-	18:53	19:26	-	20:20	21:11	-		22:49			
大野	-	07:54		-		09:47	10:14		-	12:07	-	13:31	14:12	-	16:13	-		18:07	-	19:04	19:34	-	20:28	21:15	-		22:56			
金石東-A	07:58			08:43					11:01		12:58			15:03		17:01			18:25			19:52			21:45					
金石北-A	07:59			08:44					11:02		12:59			15:04		17:02			18:26			19:53			21:46					
桂町-A	08:00			08:45					11:03		13:00			15:05		17:03			18:27			19:54			21:47					
桂町東（からくりから）	-			08:46					-		13:01			-		-			-			-			-					
桂町東（大野港方向）	08:01			-					11:04		-			15:06		17:04			18:28			19:55			21:48					
金沢港いきいき魚市前-A	-			08:48					-		13:03			-		-			-			-			-					
大野港（始発）	08:07			-					11:11		-			15:13		17:08			18:39			20:06			21:55					
大野港（からくり方向）				08:50							13:05																			
からくり記念館				08:58							13:11																			
