終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考		ノンステップバス	ノンステップバス					ノンステップバス	ノンステップバス						ノンステップバス				ノンステップバス	ノンステップバス		学期休み期間、運休	学期休み期間のみ運行		学期休み期間、運休	学期休み期間のみ運行		ノンステップバス		ノンステップバス		ノンステップバス		学期休み期間、運休	学期休み期間のみ運行	ノンステップバス			ノンステップバス				学期休み期間、運休	学期休み期間のみ運行	ノンステップバス					
本多町-B	06:36	06:56	07:16	07:31	07:48	08:03	08:18	08:38	08:58	09:18	09:38	09:58	10:18	10:38	10:58	11:18	11:38	11:58	12:18	12:38	12:58	13:18	13:18	13:28	13:38	13:38	13:58	14:18	14:38	14:58	15:18	15:38	15:58	16:18	16:18	16:38	16:58	17:18	17:38	17:56	18:16	18:36	18:56	18:56	19:15	19:45	20:15	20:45	21:15	21:45
広坂（金沢２１世紀美術館前）	06:37	06:57	07:17	07:32	07:49	08:04	08:19	08:39	08:59	09:19	09:39	09:59	10:19	10:39	10:59	11:19	11:39	11:59	12:19	12:39	12:59	13:19	13:19	13:29	13:39	13:39	13:59	14:19	14:39	14:59	15:19	15:39	15:59	16:19	16:19	16:39	16:59	17:19	17:39	17:57	18:17	18:37	18:57	18:57	19:16	19:46	20:16	20:46	21:16	21:46
香林坊（日銀前）	06:39	06:59	07:19	07:34	07:52	08:07	08:22	08:42	09:02	09:22	09:42	10:02	10:22	10:42	11:02	11:22	11:42	12:02	12:22	12:42	13:02	13:22	13:22	13:32	13:42	13:42	14:02	14:22	14:42	15:02	15:22	15:42	16:02	16:22	16:22	16:42	17:02	17:22	17:42	17:59	18:19	18:39	18:59	18:59	19:18	19:48	20:18	20:48	21:18	21:48
南町-B	06:41	07:01	07:21	07:36	07:55	08:10	08:25	08:45	09:05	09:25	09:45	10:05	10:25	10:45	11:05	11:25	11:45	12:05	12:25	12:45	13:05	13:25	13:25	13:35	13:45	13:45	14:05	14:25	14:45	15:05	15:25	15:45	16:05	16:25	16:25	16:45	17:05	17:25	17:45	18:01	18:21	18:41	19:01	19:01	19:20	19:50	20:20	20:50	21:20	21:50
武蔵ヶ辻（めいてつエムザ前）	06:43	07:03	07:23	07:38	07:57	08:12	08:27	08:47	09:07	09:27	09:47	10:07	10:27	10:47	11:07	11:27	11:47	12:07	12:27	12:47	13:07	13:27	13:27	13:37	13:47	13:47	14:07	14:27	14:47	15:07	15:27	15:47	16:07	16:27	16:27	16:47	17:07	17:27	17:47	18:03	18:23	18:43	19:03	19:03	19:22	19:52	20:22	20:52	21:22	21:52
武蔵ヶ辻（ホリデイ・イン金沢前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
リファーレ前-B	06:46	07:06	07:26	07:41	08:00	08:15	08:30	08:50	09:10	09:30	09:50	10:10	10:30	10:50	11:10	11:30	11:50	12:10	12:30	12:50	13:10	13:30	13:30	13:40	13:50	13:50	14:10	14:30	14:50	15:10	15:30	15:50	16:10	16:30	16:30	16:50	17:10	17:30	17:50	18:06	18:26	18:46	19:06	19:06	19:25	19:55	20:25	20:55	21:25	21:55
六枚町（金石方向）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
広岡口（朱鷺の苑前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
金沢駅【降車場】	06:57	07:17	07:37	07:52	08:14	08:29	08:44	09:04	09:19	09:39	09:59	10:19	10:39	10:59	11:19	11:39	11:59	12:19	12:39	12:59	13:19	13:39	13:39	13:49	13:59	13:59	14:19	14:39	14:59	15:19	15:39	15:59	16:19	16:39	16:39	16:59	17:22	17:42	18:02	18:17	18:37	18:57	19:17	19:17	19:32	20:02	20:32	21:02	21:32	22:02
