始発停留所	柳橋（始発）	柳橋（始発）	木越住宅（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	柳橋（始発）	木越住宅（始発）	柳橋（始発）	柳橋（始発）				
法光寺-B			07:36	08:13			09:47					11:50				14:00					15:40			16:57					19:10						
柳橋（森本から）			07:37	08:14			09:49					11:52				14:02					15:42			16:59					19:11						
柳橋（始発）	06:27	07:00	-	-	08:34	09:07	-	10:05	10:30	10:50	11:25	-	12:20	12:51	13:31	-	13:51	14:28	14:48	15:28	-	16:04	16:43	-	17:25	17:45	18:17	18:50	-	19:45	20:50				
神谷内-B	06:28	07:01	07:38	08:15	08:35	09:08	09:50	10:06	10:31	10:51	11:26	11:53	12:21	12:52	13:32	14:03	13:52	14:29	14:49	15:29	15:43	16:05	16:44	17:00	17:26	17:46	18:18	18:51	19:12	19:46	20:51				
小坂中-B	06:29	07:02	07:39	08:16	08:36	09:09	09:51	10:07	10:32	10:52	11:27	11:54	12:22	12:53	13:33	14:04	13:53	14:30	14:50	15:30	15:44	16:06	16:45	17:01	17:27	17:47	18:19	18:52	19:13	19:47	20:52				
小坂-B	06:30	07:03	07:40	08:17	08:37	09:10	09:52	10:08	10:33	10:53	11:28	11:55	12:23	12:54	13:34	14:05	13:54	14:31	14:51	15:31	15:45	16:07	16:46	17:02	17:28	17:48	18:20	18:53	19:14	19:48	20:53				
鳴和-B	06:31	07:04	07:41	08:18	08:38	09:11	09:53	10:09	10:34	10:54	11:29	11:56	12:24	12:55	13:35	14:06	13:55	14:32	14:52	15:32	15:46	16:08	16:47	17:03	17:29	17:49	18:21	18:54	19:15	19:49	20:54				
春日町（山の上方向）	06:32	07:05	07:42	08:19	08:39	09:12	09:54	10:10	10:35	10:55	11:30	11:57	12:25	12:56	13:36	14:07	13:56	14:34	14:54	15:34	15:47	16:10	16:49	17:04	17:31	17:51	18:22	18:55	19:16	19:50	20:55				
山の上（橋場方向）	06:33	07:06	07:43	08:20	08:40	09:13	09:55	10:11	10:36	10:56	11:31	11:58	12:26	12:57	13:37	14:08	13:57	14:35	14:55	15:35	15:48	16:11	16:50	17:05	17:32	17:52	18:23	18:56	19:17	19:51	20:56				
森山-B	06:34	07:07	07:44	08:21	08:41	09:14	09:56	10:12	10:37	10:57	11:32	11:59	12:27	12:58	13:38	14:09	13:58	14:36	14:56	15:36	15:49	16:12	16:51	17:06	17:33	17:53	18:24	18:57	19:18	19:52	20:57				
東山-B	06:35	07:08	07:45	08:22	08:42	09:15	09:57	10:13	10:38	10:58	11:33	12:00	12:28	12:59	13:39	14:10	13:59	14:37	14:57	15:37	15:50	16:13	16:52	17:07	17:34	17:54	18:25	18:58	19:19	19:53	20:58				
橋場町（交番前）	06:37	07:10	07:47	08:24	08:44	09:17	09:59	10:15	10:40	11:00	11:35	12:02	12:30	13:01	13:41	14:12	14:01	14:39	14:59	15:39	15:52	16:15	16:54	17:09	17:36	17:56	18:27	19:00	19:21	19:55	21:00				
尾張町-B	06:38	07:11	07:48	08:25	08:45	09:19	10:01	10:17	10:42	11:02	11:37	12:04	12:32	13:03	13:43	14:14	14:03	14:41	15:01	15:41	15:54	16:17	16:56	17:11	17:38	17:58	18:29	19:01	19:22	19:56	21:01				
武蔵ヶ辻（近江町市場前）	06:40	07:13	07:50	08:27	08:47	09:21	10:03	10:19	10:44	11:04	11:40	12:06	12:34	13:05	13:45	14:16	14:05	14:43	15:03	15:43	15:56	16:19	16:58	17:13	17:40	18:00	18:31	19:03	19:24	19:58	21:03				
南町-A	06:41	07:14	07:51	08:28	08:48	09:23	10:05	10:21	10:46	11:06	11:42	12:08	12:36	13:07	13:47	14:18	14:07	14:45	15:05	15:45	15:58	16:21	17:00	17:15	17:42	18:02	18:33	19:04	19:25	19:59	21:04				
香林坊（アトリオ前）	06:43	07:16	07:53	08:30	08:50	09:25	10:07	10:23	10:48	11:08	11:44	12:10	12:38	13:09	13:49	14:20	14:09	14:47	15:07	15:47	16:00	16:23	17:02	17:17	17:44	18:04	18:35	19:06	19:27	20:01	21:06				
片町（パシオン前）	06:45	07:18	07:55	08:32	08:52	09:28	10:10	10:26	10:51	11:11	11:47	12:13	12:41	13:12	13:52	14:23	14:12	14:50	15:10	15:50	16:03	16:26	17:05	17:20	17:47	18:07	18:38	19:08	19:29	20:03	21:08				
広小路（有松方向）	06:47	07:20	07:57	08:34	08:54	09:30	10:12	10:28	10:53	11:13	11:49	12:15	12:43	13:14	13:54	14:25	14:14	14:52	15:12	15:52	16:05	16:28	17:07	17:22	17:49	18:09	18:40	19:10	19:31	20:05	21:10				
野町-A	06:48	07:21	07:58	08:35	08:55	09:31	10:13	10:29	10:54	11:14	11:50	12:16	12:44	13:15	13:55	14:26	14:15	14:53	15:13	15:53	16:06	16:29	17:08	17:23	17:50	18:10	18:41	19:11	19:32	20:06	21:11				
泉一丁目-A	06:49	07:22	07:59	08:36	08:56	09:32	10:14	10:30	10:55	11:15	11:51	12:17	12:45	13:16	13:56	14:27	14:16	14:54	15:14	15:54	16:07	16:30	17:09	17:24	17:51	18:11	18:42	19:12	19:33	20:07	21:12				
泉二丁目-A	06:50	07:23	08:00	08:37	08:57	09:33	10:15	10:31	10:56	11:16	11:52	12:18	12:46	13:17	13:57	14:28	14:17	14:55	15:15	15:55	16:08	16:31	17:10	17:25	17:52	18:12	18:43	19:13	19:34	20:08	21:13				
有松（泉が丘方向）	06:51	07:24	08:01	08:38	08:58	09:35	10:17	10:33	10:58	11:18	11:54	12:20	12:48	13:19	13:59	14:30	14:19	14:57	15:17	15:57	16:10	16:33	17:12	17:27	17:54	18:14	18:45	19:14	19:35	20:09	21:14				
泉が丘（円光寺方向）	06:53	07:26	08:03	08:40	09:00	09:37	10:19	10:35	11:00	11:20	11:56	12:22	12:50	13:21	14:01	14:32	14:21	15:00	15:20	16:00	16:12	16:36	17:15	17:29	17:57	18:17	18:47	19:16	19:37	20:11	21:16				
泉丘高校前-A	06:55	07:28	08:05	08:42	09:02	09:39	10:21	10:37	11:02	11:22	11:58	12:24	12:52	13:23	14:03	14:34	14:23	15:02	15:22	16:02	16:14	16:38	17:17	17:31	17:59	18:19	18:49	19:18	19:39	20:13	21:18				
円光寺-D	07:02	07:35	08:15	08:52	09:09	09:45	10:29	10:43	11:08	11:28	12:03	12:32	12:58	13:29	14:09	14:42	14:29	15:09	15:29	16:09	16:25	16:45	17:24	17:42	18:06	18:26	18:55	19:26	19:49	20:21	21:26				
