始発停留所	大野港（始発）	大野	大野港（始発）	大野	大野	大野港（始発）	金石-A	大野港（始発）	大野	からくり記念館	大野	大野港（始発）	大野	大野港（始発）	大野	からくり記念館	大野	大野	大野港（始発）	大野	大野	大野	大野港（始発）	大野港（始発）	大野	大野港（始発）	大野			
始発時間	06:39	07:02	07:24	07:42	08:07	08:24	08:50	08:54	09:22	09:50	10:22	10:54	11:22	11:54	12:22	12:57	13:32	14:07	14:44	15:15	15:52	16:27	16:59	17:29	18:02	18:49	19:27			
終点時間	07:24	07:57	08:17	08:37	09:02	09:17	09:37	09:47	10:22	10:54	11:22	11:52	12:22	12:52	13:22	14:01	14:32	15:07	15:42	16:15	16:52	17:27	17:57	18:27	19:02	19:47	20:22			
終点停留所	兼六園下（北鉄車庫前）	高尾	高尾	金沢工業大学-A	高尾	高尾	高尾	金沢工業大学-A	高尾	高尾	金沢工業大学-A	金沢工業大学-A	高尾	高尾	金沢工業大学-A	金沢工業大学-A	高尾	高尾	金沢工業大学-A	高尾	高尾	高尾	金沢工業大学-A	高尾	金沢工業大学-A	金沢工業大学-A	高尾			
備考		ノンステップバス	ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス					ノンステップバス		ノンステップバス			ノンステップバス					ノンステップバス			
久安三丁目-A		07:44	08:04	08:24	08:49	09:04	09:24	09:34	10:09	10:39	11:09	11:39	12:09	12:39	13:09	13:46	14:19	14:54	15:29	16:02	16:39	17:14	17:44	18:14	18:49	19:34	20:09			
久安二丁目-A		07:46	08:06	08:26	08:51	09:06	09:26	09:36	10:11	10:41	11:11	11:41	12:11	12:41	13:11	13:48	14:21	14:56	15:31	16:04	16:41	17:16	17:46	18:16	18:51	19:36	20:11			
西三馬（高尾方向）		07:47	08:07	-	08:52	09:07	09:27	-	10:12	10:42	-	-	12:12	12:42	-	-	14:22	14:57	-	16:05	16:42	17:17	-	18:17	-	-	20:12			
西三馬（工大方向）		-	-	08:27	-	-	-	09:37	-	-	11:12	11:42	-	-	13:12	13:49	-	-	15:32	-	-	-	17:47	-	18:52	19:37	-			
金沢工業大学-A		-	-	08:37	-	-	-	09:47	-	-	11:22	11:52	-	-	13:22	14:01	-	-	15:42	-	-	-	17:57	-	19:02	19:47	-			
三馬-B		07:48	08:08		08:53	09:08	09:28		10:13	10:43			12:13	12:43			14:23	14:58		16:06	16:43	17:18		18:18			20:13			
上三馬-A		07:49	08:09		08:54	09:09	09:29		10:14	10:44			12:14	12:44			14:24	14:59		16:07	16:44	17:19		18:19			20:14			
高尾		07:57	08:17		09:02	09:17	09:37		10:22	10:54			12:22	12:52			14:32	15:07		16:15	16:52	17:27		18:27			20:22			
出羽町-A																														
石引町-A																														
小立野大学病院前（降車場）																														
寺町三丁目-A																														
寺町二丁目-A																														
寺町一丁目（平和町方向）																														
十一屋-A																														
泉が丘（円光寺方向）																														
市総合体育館前-C																														
二水高校前-A																														
平和町（公民館前）																														
平和町（アルコ前）																														
金大附校自衛隊前-B																														
