始発停留所	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	山島台四丁目-B	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目				
始発時間	07:33	08:07	08:13	08:38	09:14	09:43	10:13	10:48	11:13	11:43	12:13	12:43	13:08	13:47	14:08	14:43	15:17	15:48	16:18	16:47	17:23	18:00	18:42	19:18	20:05	20:52				
終点時間	08:38	09:03	09:13	09:43	10:15	10:48	11:18	11:49	12:18	12:44	13:18	13:48	14:18	14:48	15:18	15:48	16:18	16:53	17:23	17:48	18:28	19:05	19:43	20:18	21:05	21:48				
終点停留所	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A				
備考					ノンステップバス			ノンステップバス			ノンステップバス											ノンステップバス		ノンステップバス		ノンステップバス				
光が丘口（四十万から）	07:49	08:14	08:24	08:54	09:21	09:54	10:24	10:55	11:24	11:50	12:24	12:54	13:24	13:54	14:24	14:54	15:24	15:59	16:29	16:54	17:34	18:11	18:49	19:29	20:16	20:59				
扇台小学校前-B	07:50	08:15	08:25	08:55	09:23	09:56	10:26	10:57	11:26	11:52	12:26	12:56	13:26	13:56	14:26	14:56	15:26	16:01	16:31	16:56	17:36	18:13	18:51	19:30	20:17	21:00				
扇が丘-B	07:51	08:16	08:26	08:56	09:24	09:57	10:27	10:58	11:27	11:53	12:27	12:57	13:27	13:57	14:27	14:57	15:27	16:02	16:32	16:57	17:37	18:14	18:52	19:31	20:18	21:01				
金沢工業大学（四十万から）	07:52	08:17	08:27	08:57	09:25	09:58	10:28	10:59	11:28	11:54	12:28	12:58	13:28	13:58	14:28	14:58	15:28	16:03	16:33	16:58	17:38	18:15	18:53	19:32	20:19	21:02				
三馬日赤病院前-B	07:53	08:18	08:28	08:58	09:26	09:59	10:29	11:00	11:29	11:55	12:29	12:59	13:29	13:59	14:29	14:59	15:29	16:04	16:34	16:59	17:39	18:16	18:54	19:33	20:20	21:03				
錦丘高校前（四十万から）	07:54	08:19	08:29	08:59	09:27	10:00	10:30	11:01	11:30	11:56	12:30	13:00	13:30	14:00	14:30	15:00	15:30	16:05	16:35	17:00	17:40	18:17	18:55	19:34	20:21	21:04				
伏見台（市内方向）	07:55	08:20	08:30	09:00	09:28	10:01	10:31	11:02	11:31	11:57	12:31	13:01	13:31	14:01	14:31	15:01	15:31	16:06	16:36	17:01	17:41	18:18	18:56	19:35	20:22	21:05				
寺地-B	07:56	08:21	08:31	09:01	09:29	10:02	10:32	11:03	11:32	11:58	12:32	13:02	13:32	14:02	14:32	15:02	15:32	16:07	16:37	17:02	17:42	18:19	18:57	19:36	20:23	21:06				
上有松-B	07:57	08:22	08:32	09:02	09:30	10:03	10:33	11:04	11:33	11:59	12:33	13:03	13:33	14:03	14:33	15:03	15:33	16:08	16:38	17:03	17:43	18:20	18:58	19:37	20:24	21:07				
有松（寺地から）	07:58	08:23	08:33	09:03	09:31	10:04	10:34	11:05	11:34	12:00	12:34	13:04	13:34	14:04	14:34	15:04	15:34	16:09	16:39	17:04	17:44	18:21	18:59	19:38	20:25	21:08				
泉二丁目-B	08:00	08:25	08:35	09:05	09:33	10:06	10:36	11:07	11:36	12:02	12:36	13:06	13:36	14:06	14:36	15:06	15:36	16:11	16:41	17:06	17:46	18:23	19:01	19:40	20:27	21:10				
