終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	映寿会みらい病院	金沢駅【降車場】	金沢駅【降車場】	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】				
備考			ノンステップバス						ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス					ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス				学期休み期間、運休
ノンステップバス	学期休み期間のみ運行			学期休み期間、運休	学期休み期間のみ運行	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間、運休	学期休み期間のみ運行				ノンステップバス	学期休み期間、運休	学期休み期間のみ運行	ノンステップバス	ノンステップバス	ノンステップバス					ノンステップバス								
金沢学院大学（花里方向）																											11:15						12:45		13:15						14:45			15:15	15:30		15:45					16:35		16:45		17:15		17:45				18:30						20:15							
笠舞二丁目-B	06:32	06:42	06:52	07:02	07:12	07:22	07:27	07:32	07:37	07:47	07:54	08:02	08:12	08:22	08:37	08:47	09:02	09:17	09:32	09:47	10:02	10:17	10:32	10:47	11:02	11:17	11:32	11:47	12:02	12:17	12:32	12:47	13:02	13:17	13:32	13:47	14:02	14:17	14:32	14:47	15:02	15:02	15:17	15:32	15:47	15:47	16:02	16:12	16:22	16:32	16:42	16:52	16:52	17:02	17:17	17:32	17:47	18:02	18:02	18:17	18:32	18:47	19:02	19:17	19:32	19:51	20:11	20:31	20:51	21:11	21:41				
猿丸神社前（幸町方向）	06:33	06:43	06:53	07:03	07:13	07:23	07:28	07:34	07:39	07:49	07:56	08:04	08:14	08:24	08:39	08:49	09:04	09:19	09:34	09:49	10:04	10:19	10:34	10:49	11:04	11:19	11:34	11:49	12:04	12:19	12:34	12:49	13:04	13:19	13:34	13:49	14:04	14:19	14:34	14:49	15:04	15:04	15:19	15:34	15:49	15:49	16:04	16:14	16:24	16:34	16:44	16:54	16:54	17:04	17:19	17:34	17:49	18:03	18:04	18:19	18:33	18:48	19:03	19:18	19:33	19:52	20:12	20:32	20:52	21:12	21:42				
思案橋-B	06:34	06:44	06:54	07:04	07:14	07:24	07:29	07:35	07:40	07:50	07:57	08:05	08:15	08:25	08:40	08:50	09:05	09:20	09:35	09:50	10:05	10:20	10:35	10:50	11:05	11:20	11:35	11:50	12:05	12:20	12:35	12:50	13:05	13:20	13:35	13:50	14:05	14:20	14:35	14:50	15:05	15:05	15:20	15:35	15:50	15:50	16:05	16:15	16:25	16:35	16:45	16:55	16:55	17:05	17:20	17:35	17:50	18:04	18:05	18:20	18:34	18:49	19:04	19:19	19:34	19:53	20:13	20:33	20:53	21:13	21:43				
幸町-B	06:35	06:45	06:55	07:05	07:15	07:25	07:30	07:36	07:41	07:51	07:58	08:06	08:16	08:26	08:41	08:51	09:06	09:21	09:36	09:51	10:06	10:21	10:36	10:51	11:06	11:21	11:36	11:51	12:06	12:21	12:36	12:51	13:06	13:21	13:36	13:51	14:06	14:21	14:36	14:51	15:06	15:06	15:21	15:36	15:51	15:51	16:06	16:16	16:26	16:36	16:46	16:56	16:56	17:06	17:21	17:36	17:51	18:05	18:06	18:21	18:35	18:50	19:05	19:20	19:35	19:54	20:14	20:34	20:54	21:14	21:44				
本多町-B	06:36	06:46	06:56	07:06	07:16	07:26	07:31	07:38	07:43	07:53	08:00	08:08	08:18	08:28	08:43	08:53	09:08	09:23	09:38	09:53	10:08	10:23	10:38	10:53	11:08	11:23	11:38	11:53	12:08	12:23	12:38	12:53	13:08	13:23	13:38	13:53	14:08	14:23	14:38	14:53	15:08	15:08	15:23	15:38	15:53	15:53	16:08	16:18	16:28	16:38	16:48	16:58	16:58	17:08	17:23	17:38	17:53	18:06	18:08	18:23	18:36	18:51	19:06	19:21	19:36	19:55	20:15	20:35	20:55	21:15	21:45				
広坂（金沢２１世紀美術館前）	06:37	06:47	06:57	07:07	07:17	07:27	07:32	07:40	07:44	07:54	08:02	08:09	08:19	08:29	08:44	08:54	09:09	09:24	09:39	09:54	10:09	10:24	10:39	10:54	11:09	11:24	11:39	11:54	12:09	12:24	12:39	12:54	13:09	13:24	13:39	13:54	14:09	14:24	14:39	14:54	15:09	15:09	15:24	15:39	15:54	15:54	16:09	16:19	16:29	16:39	16:49	16:59	16:59	17:09	17:24	17:39	17:54	18:07	18:09	18:24	18:37	18:52	19:07	19:22	19:37	19:56	20:16	20:36	20:56	21:16	21:46				
香林坊（日銀前）	06:39	06:49	06:59	07:09	07:19	07:29	07:34	07:42	07:47	07:57	08:04	08:12	08:22	08:32	08:47	08:57	09:12	09:27	09:42	09:57	10:12	10:27	10:42	10:57	11:12	11:27	11:42	11:57	12:12	12:27	12:42	12:57	13:12	13:27	13:42	13:57	14:12	14:27	14:42	14:57	15:12	15:12	15:27	15:42	15:57	15:57	16:12	16:22	16:32	16:42	16:52	17:02	17:02	17:12	17:27	17:42	17:57	18:09	18:12	18:27	18:39	18:54	19:09	19:24	19:39	19:58	20:18	20:38	20:58	21:18	21:48				
南町-B	06:41	06:51	07:01	07:11	07:21	07:31	07:36	07:45	07:50	08:00	08:07	08:15	08:25	08:35	08:50	09:00	09:15	09:30	09:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:15	15:30	15:45	16:00	16:00	16:15	16:25	16:35	16:45	16:55	17:05	17:05	17:15	17:30	17:45	18:00	18:11	18:15	18:30	18:41	18:56	19:11	19:26	19:41	20:00	20:20	20:40	21:00	21:20	21:50				
武蔵ヶ辻（めいてつエムザ前）	06:43	06:53	07:03	07:13	07:23	07:33	07:38	07:48	07:52	08:02	08:10	08:17	08:27	08:37	08:52	09:02	09:17	09:32	09:47	10:02	10:17	10:32	10:47	11:02	11:17	11:32	11:48	12:02	12:17	12:32	12:48	13:03	13:18	13:32	13:48	14:03	14:18	14:33	14:48	15:03	15:18	15:18	15:33	15:48	16:03	16:03	16:18	16:28	16:38	16:48	16:58	17:08	17:08	17:18	17:33	17:48	18:02	18:13	18:17	18:32	18:43	18:58	19:13	19:28	19:43	20:02	20:22	20:42	21:02	21:22	21:52				
武蔵ヶ辻（ホリデイ・イン金沢前）	-	-	-	-	-	-	-	07:48	-	-	08:10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
