始発停留所	野々市車庫-B	野々市車庫-B	野々市車庫-B	富光寺住宅前	野々市車庫-B	野町駅-B	野々市車庫-B	富光寺住宅前	野町駅-B	野町駅-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	富光寺住宅前	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	富光寺住宅前	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B	野々市車庫-B
野町駅-B	06:19	06:59	07:16	07:51	-	07:32	08:12	-	09:26	10:02	11:20	12:00	-	14:00	14:35	15:10	15:45	16:51	-	17:44	18:37	19:19	19:57	20:43	22:01
広小路（有松から）	06:20	07:00	07:17	07:53	07:29	07:34	08:15	-	09:28	10:04	11:21	12:01	13:35	14:01	14:36	15:11	15:46	16:52	17:54	17:46	18:39	19:21	19:59	20:44	22:02
片町（ラブロ前）	06:22	07:02	07:19	07:56	07:32	07:36	08:19	09:10	09:30	10:06	11:24	12:04	13:38	14:04	14:39	15:14	15:49	16:55	17:57	17:49	18:42	19:24	20:02	20:46	22:04
香林坊（中央公園前）	06:23	07:03	07:20	07:57	07:33	07:37	08:20	-	09:31	10:07	11:25	12:05	13:39	14:05	14:40	15:15	15:50	16:56	17:58	17:50	18:43	19:25	20:03	20:47	22:05
香林坊（日銀前）	-	-	-	-	-	-	-	09:21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
広坂（しいのき迎賓館前）	06:24	07:04	07:21	07:58	07:34	07:38	08:21		09:32	10:08	11:26	12:06	13:40	14:06	14:41	15:16	15:51	16:57	17:59	17:51	18:44	19:26	20:04	20:48	22:06
兼六園下（県駐車場前）	06:27	07:07	07:24	08:01	07:37	07:40	08:24		09:34	10:10	11:29	12:09	13:43	14:09	14:44	15:19	15:54	17:00	18:02	17:54	18:47	19:29	20:07	20:51	22:09
出羽町-A	06:29	07:09	07:26	08:03	07:39	07:43	08:27		09:37	10:13	11:31	12:11	13:45	14:11	14:46	15:21	15:56	17:02	18:04	17:56	18:49	19:31	20:09	20:53	22:11
石引町-A	06:30	07:10	07:27	08:04	07:40	07:44	08:28		09:38	10:14	11:32	12:12	13:46	14:12	14:47	15:22	15:57	17:03	18:05	17:57	18:50	19:32	20:10	20:54	22:12
小立野大学病院前（降車場）	06:39	07:20	-	08:11	07:52	-	-		-	-	11:44	-	13:58	14:26	14:49	15:24	-	17:05	18:16	-	18:52	19:42	20:20	21:03	22:21
小立野大学病院前			-			-	-		-	-		-			14:49	15:24	-	17:05		-	18:52				
小立野-A			07:28			07:45	08:29		09:39	10:15		12:13			14:50	15:25	15:58	17:06		17:58	18:53				
天徳院前-A			07:30			07:47	08:31		09:41	10:17		12:15			14:52	15:27	16:00	17:08		18:00	18:55				
小立野三丁目-A			07:31			07:48	08:32		09:42	10:18		12:16			14:53	15:28	16:01	17:09		18:01	18:56				
崎浦公民館-A			07:32			07:49	08:33		09:43	10:19		12:17			14:54	15:29	16:02	17:10		18:02	18:57				
小立野一丁目-A			07:33			07:50	08:34		09:44	10:20		12:18			14:55	15:30	16:03	17:11		18:03	18:58				
錦町（湯涌）			07:34			07:51	08:35		09:45	10:21		12:19			14:56	15:31	16:04	17:12		18:04	18:59				
土清水口-A			07:36			07:53	08:37		09:47	10:23		12:21			14:58	15:33	16:06	17:14		18:06	19:01				
土清水-A			07:37			07:54	-		-	-		-			14:59	15:34	-	17:15		-	19:02				
土清水南-A			07:38			07:55	-		-	-		-			15:00	15:35	-	17:16		-	19:03				
舘山町-A			07:39			07:56	-		-	-		-			15:01	15:36	-	17:17		-	19:04				
辰巳丘高校-B			07:49			08:06	-		-	-		-			15:12	15:47	-	17:28		-	19:13				
田上口-A							08:39		09:49	10:25		12:23					16:08			18:08					
舘町-A							08:40		09:50	10:26		12:24					16:09			18:09					
銚子口							08:41		09:51	10:27		12:25					16:10			18:10					
北大太陽が丘-B							08:44		10:02	10:30		12:28					16:13			18:13					
中村（北大薬学部方向）							08:47			10:33		12:31					16:16			18:16					
北陸大学松雲会館前（薬学部方向）							08:48			10:34		12:32					16:17			18:17					
北陸大学薬学部（降車）							08:57			10:46		12:45					16:30			18:28					
