終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	小立野大学病院前（降車場）	映寿会みらい病院	金沢駅【降車場】	金沢駅【降車場】	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考		ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス				ノンステップバス			ノンステップバス							ノンステップバス			ノンステップバス					
泉丘高校前-B	06:27	06:40	07:00	07:11	07:07	07:19	07:33	07:41	07:25	07:56	-	07:49	-	-	08:13	-	08:51	09:04	09:29	10:06	09:48	10:27	10:48	11:03	11:29	11:48	12:03	12:28	13:04	12:48	13:21	13:48	14:03	14:28	14:48	15:03	15:26	15:59	15:48	16:08	16:16	16:28	16:38	16:48	16:58	17:13	17:24	17:38	17:48	17:58	18:08	18:29	18:48	19:03	19:10	19:27	19:45	20:00	20:27	20:50	21:00	21:15	22:15		
泉が丘（有松方向）	-	-	07:02	-	-	07:21	-	07:43	07:27	07:58	-	07:51	-	-	-	-	-	-	-	10:08	-	-	-	11:05	-	-	12:05	-	13:06	-	-	-	14:05	-	-	15:05	-	16:01	-	-	-	-	-	-	17:00	-	-	-	-	18:00	-	-	-	-	19:12	-	-	20:02	-	-	21:02	-	-		
泉が丘（公園前）	06:29	06:41	-	07:12	07:09	-	07:35	-	-	-	-	-	-	-	08:15	-	08:53	09:06	09:31	-	09:50	10:29	10:50	-	11:31	11:50	-	12:30	-	12:50	13:23	13:50	-	14:30	14:50	-	15:28	-	15:50	16:10	16:18	16:30	16:40	16:50	-	17:15	17:26	17:40	17:50	-	18:10	18:31	18:50	19:05	-	19:28	19:46	-	20:28	20:51	-	21:16	22:16		
泉野三丁目-B	06:30	06:42	-	07:13	07:10	-	07:36	-	-	-	-	-	-	-	08:16	-	08:54	09:07	09:32	-	09:51	10:30	10:51	-	11:32	11:51	-	12:31	-	12:51	13:24	13:51	-	14:31	14:51	-	15:29	-	15:51	16:11	16:19	16:31	16:41	16:51	-	17:16	17:27	17:41	17:51	-	18:11	18:32	18:51	19:06	-	19:29	19:47	-	20:29	20:52	-	21:17	22:17		
沼田町-B	06:31	06:43	-	07:14	07:11	-	07:37	-	-	-	-	-	-	-	08:17	-	08:55	09:08	09:33	-	09:52	10:31	10:52	-	11:33	11:52	-	12:32	-	12:52	13:25	13:52	-	14:32	14:52	-	15:30	-	15:52	16:12	16:20	16:32	16:42	16:52	-	17:17	17:28	17:42	17:52	-	18:12	18:33	18:52	19:07	-	19:30	19:48	-	20:30	20:53	-	21:18	22:18		
寺町五丁目-B	06:33	06:44	-	07:15	07:13	-	07:39	-	-	-	-	-	-	-	08:19	-	08:57	09:10	09:34	-	09:53	10:32	10:53	-	11:34	11:53	-	12:33	-	12:53	13:26	13:53	-	14:33	14:53	-	15:31	-	15:53	16:13	16:21	16:33	16:43	16:53	-	17:18	17:29	17:43	17:53	-	18:13	18:34	18:53	19:08	-	19:31	19:49	-	20:31	20:54	-	21:19	22:19		
有松（泉が丘から）	-	-	07:03	-	-	07:23	-	07:44	07:29	07:59	-	07:53	-	-	-	-	-	-	-	10:09	-	-	-	11:06	-	-	12:06	-	13:07	-	-	-	14:06	-	-	15:06	-	16:02	-	-	-	-	-	-	17:01	-	-	-	-	18:01	-	-	-	-	19:13	-	-	20:03	-	-	21:03	-	-		
有松（寺地から）	-	-	-	-	-	-	-	-	-	-	07:38	-	07:53	07:58	-	08:28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
泉二丁目-B	-	-	07:04	-	-	-	-	07:46	-	08:01	-	-	-	-	-	-	-	-	-	10:11	-	-	-	11:08	-	-	12:08	-	13:09	-	-	-	14:08	-	-	15:08	-	16:04	-	-	-	-	-	-	17:03	-	-	-	-	18:03	-	-	-	-	19:14	-	-	20:04	-	-	21:04	-	-		
泉一丁目-B	-	-	07:05	-	-	07:26	-	07:47	07:31	08:02	07:40	07:56	07:55	08:00	-	08:30	-	-	-	10:12	-	-	-	11:09	-	-	12:09	-	13:10	-	-	-	14:09	-	-	15:09	-	16:05	-	-	-	-	-	-	17:04	-	-	-	-	18:04	-	-	-	-	19:15	-	-	20:05	-	-	21:05	-	-		
