終点停留所	兼六園下（北鉄車庫前）	小立野大学病院前（降車場）	星稜高校（駐車場内）	御所二丁目	金大附校自衛隊前-B	星稜高校（駐車場内）	兼六園下（北鉄車庫前）	星稜高校（駐車場内）	小立野大学病院前（降車場）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	柳橋-A	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	柳橋-A	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	御所二丁目	兼六園下（北鉄車庫前）	兼六園下（北鉄車庫前）	柳橋-A	兼六園下（北鉄車庫前）	
備考					学期休み期間、運休						ノンステップバス				ノンステップバス		ノンステップバス								ノンステップバス		ノンステップバス																ノンステップバス							
桜丘高校前-A		-	07:41	07:36	-	07:46		08:13	-			08:58		-			10:16		-		11:46				13:33			14:36	-		16:01					17:38			18:31	-			19:36		20:23			-		
鳴和-A		-	-	-	-	-		-	-			-		09:36			-		11:16		-				-			-	15:06		-					-			-	18:51			-		-			21:46		
鳴和台市民体育会館前-A		-	-	-	-	-		-	-			08:59		-			10:17		-		-				13:34			14:37	-		16:02					-			18:32	-			-		-			-		
鳴和台-A		-	-	-	-	-		-	-			09:00		-			10:18		-		-				13:35			14:38	-		16:03					-			18:33	-			-		-			-		
鳴和台-C		-	07:41	07:37	-	07:47		08:14	-			-		-			-		-		11:47				-			-	-		-					17:39			-	-			19:37		20:24			-		
御所町-A		-	07:42	-	-	07:48		08:15	-			-		-			-		-		-				-			-	-		-					-			-	-			-		-			-		
星稜高校（駐車場内）		-	07:48	-	-	07:58		08:27	-			-		-			-		-		-				-			-	-		-					-			-	-			-		-			-		
高田-A		-		07:39	-				-			09:02		-			10:20		-		11:49				13:37			14:40	-		16:05					17:41			18:35	-			19:39		20:26			-		
御所ニュータウン口-A		-		07:40	-				-			09:03		-			10:21		-		11:50				13:38			14:41	-		16:06					17:42			18:36	-			19:40		20:27			-		
御所一丁目-A		-		07:41	-				-			09:04		-			10:22		-		11:51				13:39			14:42	-		16:07					17:43			18:37	-			19:41		20:28			-		
御所二丁目		-		07:53	-				-			09:18		-			10:36		-		12:05				13:53			14:56	-		16:21					17:57			18:51	-			19:53		20:40			-		
小坂-A		-			-				-					09:37					11:17										15:07											18:52								21:47		
小坂中-A		-			-				-					09:38					11:18										15:08											18:53								21:48		
神谷内-A		-			-				-					09:39					11:19										15:09											18:54								21:49		
柳橋-A		-			-				-					09:50					11:30										15:20											19:05								21:58		
兼六園下（県駐車場前）		07:19			-				08:14																																									
出羽町-A		07:22			-				08:17																																									
石引町-A		07:23			-				08:18																																									
小立野大学病院前（降車場）		07:31			-				08:26																																									
西金沢-C					07:27																																													
米泉-B					07:28																																													
西泉（デイリーヤマザキ前）					07:29																																													
金沢高校前-B					07:31																																													
泉新町-B					07:32																																													
泉二丁目-A					07:34																																													
有松（泉が丘方向）					07:36																																													
泉が丘（円光寺方向）					07:40																																													
市総合体育館前-C					07:41																																													
二水高校前-A					07:46																																													
平和町（公民館前）					07:48																																													
平和町（アルコ前）					07:48																																													
金大附校自衛隊前-B					07:58																																													
