終点停留所	上荒屋西-A	上荒屋西-A	いなほ工業団地	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	いなほ工業団地	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	やすらぎホーム前	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A	上荒屋西-A		
備考				ノンステップバス											ノンステップバス	ノンステップバス																								
新保本町-B	07:38	07:22	07:59	08:24	-	09:04	09:33	-	10:00	10:30	11:03	11:23	-	11:45	12:15	12:39	13:10	-	13:49	14:15	14:44	15:15	-	15:45	16:15	16:44	17:15	17:44	-	18:20	18:49	19:15	19:46	20:19	20:49	21:19	21:49	22:19		
森戸-B	07:39	07:23	08:00	08:25	-	09:05	09:34	-	10:01	10:31	11:04	11:24	-	11:46	12:16	12:40	13:11	-	13:50	14:16	14:45	15:16	-	15:46	16:16	16:45	17:16	17:45	-	18:21	18:50	19:16	19:47	20:20	20:50	21:20	21:50	22:20		
矢木-A	07:41	07:25	08:02	08:27	-	09:07	09:36	-	10:03	10:33	11:06	11:26	-	11:48	12:18	12:42	13:13	-	13:52	14:18	14:47	15:18	-	15:48	16:18	16:47	17:18	17:47	-	18:23	18:52	19:18	19:49	20:22	20:52	21:22	21:52	22:22		
上荒屋-A	07:42	07:26	08:03	08:28	-	09:08	09:37	-	10:04	10:34	11:07	11:27	-	11:49	12:19	12:43	13:14	-	13:53	14:19	14:48	15:19	-	15:49	16:19	16:48	17:19	17:48	-	18:24	18:53	19:19	19:50	20:23	20:53	21:23	21:53	22:23		
上荒屋大橋-A	07:43	07:27	08:04	08:29	-	09:09	09:38	-	10:05	10:35	11:08	11:28	-	11:50	12:20	12:44	13:15	-	13:54	14:20	14:49	15:20	-	15:50	16:20	16:49	17:20	17:49	-	18:25	18:54	19:20	19:51	20:24	20:54	21:24	21:54	22:24		
上荒屋西-A	07:50	07:32	08:05	08:36	-	09:14	09:45	-	10:14	10:44	11:18	11:37	-	11:59	12:29	12:45	13:24	-	14:03	14:29	14:59	15:29	-	15:59	16:29	16:59	17:29	17:58	-	18:34	19:04	19:29	19:58	20:29	20:59	21:29	21:59	22:29		
いなほ一丁目-A			08:06		-			-					-			12:46		-					-						-											
いなほ工業団地			08:11		-			-					-			12:56		-					-						-											
八日市四丁目-A					08:46			09:31					11:11					13:16					15:36						17:51											
八日市三丁目-A					08:48			09:33					11:13					13:18					15:38						17:53											
御経塚中-A					08:50			09:35					11:15					13:20					15:40						17:55											
やすらぎホーム前					08:54			09:44					11:24					13:29					15:49						18:04											
