終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考					ノンステップバス																	ノンステップバス	ノンステップバス				ノンステップバス						ノンステップバス												
円光寺（市内方向）	06:23	06:58	07:13	07:28	07:54	07:46	08:11	08:36	08:57	09:06	09:32	09:59	10:11	10:32	10:46	11:06	11:25	11:46	12:01	12:26	12:46	13:04	13:26	13:58	14:11	14:31	14:56	15:16	15:34	15:57	16:11	16:24	16:46	17:01	17:19	17:41	18:01	18:18	18:38	18:58	19:20	19:43	20:08	20:35	21:08
泉丘高校前-B	06:25	07:00	07:15	07:30	07:56	07:48	08:13	08:38	08:59	09:08	09:34	10:01	10:13	10:34	10:48	11:08	11:27	11:48	12:03	12:28	12:48	13:06	13:28	14:00	14:13	14:33	14:58	15:18	15:36	15:59	16:13	16:26	16:48	17:03	17:21	17:43	18:03	18:20	18:40	19:00	19:22	19:45	20:10	20:37	21:10
泉が丘（有松方向）	-	07:02	-	-	07:58	-	-	-	09:01	-	-	10:03	-	-	10:50	-	-	-	12:05	-	-	-	-	14:02	-	-	15:00	-	-	16:01	-	-	-	17:05	-	-	18:05	-	-	19:02	-	-	20:12	-	-
泉が丘（公園前）	06:26	-	07:16	07:31	-	07:50	08:15	08:40	-	09:10	09:36	-	10:15	10:36	-	11:10	11:29	11:50	-	12:30	12:50	13:08	13:30	-	14:15	14:35	-	15:20	15:38	-	16:15	16:28	16:50	-	17:23	17:45	-	18:22	18:41	-	19:23	19:46	-	20:38	21:11
泉野三丁目-B	06:27	-	07:17	07:32	-	07:51	08:16	08:41	-	09:11	09:37	-	10:16	10:37	-	11:11	11:30	11:51	-	12:31	12:51	13:09	13:31	-	14:16	14:36	-	15:21	15:39	-	16:16	16:29	16:51	-	17:24	17:46	-	18:23	18:42	-	19:24	19:47	-	20:39	21:12
沼田町-B	06:28	-	07:18	07:33	-	07:52	08:17	08:42	-	09:12	09:38	-	10:17	10:38	-	11:12	11:31	11:52	-	12:32	12:52	13:10	13:32	-	14:17	14:37	-	15:22	15:40	-	16:17	16:30	16:52	-	17:25	17:47	-	18:24	18:43	-	19:25	19:48	-	20:40	21:13
寺町五丁目-B	06:29	-	07:19	07:34	-	07:53	08:18	08:43	-	09:13	09:39	-	10:18	10:39	-	11:13	11:32	11:53	-	12:33	12:53	13:11	13:33	-	14:18	14:38	-	15:23	15:41	-	16:18	16:31	16:53	-	17:26	17:48	-	18:25	18:44	-	19:26	19:49	-	20:41	21:14
有松（泉が丘から）	-	07:03	-	-	07:59	-	-	-	09:02	-	-	10:04	-	-	10:51	-	-	-	12:06	-	-	-	-	14:03	-	-	15:01	-	-	16:02	-	-	-	17:06	-	-	18:06	-	-	19:03	-	-	20:13	-	-
有松（寺地から）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
泉二丁目-B	-	07:04	-	-	08:00	-	-	-	09:04	-	-	10:06	-	-	10:53	-	-	-	12:08	-	-	-	-	14:05	-	-	15:03	-	-	16:04	-	-	-	17:08	-	-	18:08	-	-	19:04	-	-	20:14	-	-
泉一丁目-B	-	07:05	-	-	08:01	-	-	-	09:05	-	-	10:08	-	-	10:54	-	-	-	12:09	-	-	-	-	14:06	-	-	15:04	-	-	16:06	-	-	-	17:09	-	-	18:09	-	-	19:05	-	-	20:15	-	-
野町-B	-	07:06	-	-	08:02	-	-	-	09:06	-	-	10:09	-	-	10:55	-	-	-	12:10	-	-	-	-	14:07	-	-	15:05	-	-	16:07	-	-	-	17:10	-	-	18:10	-	-	19:06	-	-	20:16	-	-
広小路（平和町から）	06:31	-	07:21	07:36	-	07:55	08:20	08:45	-	09:15	09:41	-	10:20	10:41	-	11:15	11:34	11:55	-	12:35	12:55	13:13	13:35	-	14:20	14:40	-	15:25	15:43	-	16:20	16:33	16:55	-	17:28	17:50	-	18:27	18:46	-	19:28	19:51	-	20:43	21:16
