終点時間	07:41	08:11	08:26	08:33	08:16	09:08	08:44	09:25	09:35	09:50	10:11	10:45	10:48	10:58	11:15	11:45	12:05	12:26	12:45	13:00	13:08	13:50	14:00	14:15	14:30	14:56	15:15	15:35	15:53	16:08	16:09	16:41	17:00	17:15	17:30	17:51	18:15	18:20	18:23	18:51	19:05	19:22	19:35	19:53	20:15	20:45	20:55	21:06	21:45	21:46	22:20	22:14			
終点停留所	南四十万二丁目	南四十万二丁目	四十万-A	南四十万二丁目	如来寺前（旭町方向）	南部車庫-A	兼六園下（北鉄車庫前）	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	四十万-A	四十万-A	南部車庫-A	南部車庫-A	南四十万二丁目	山島台四丁目-B	南部車庫-A	南部車庫-A	四十万-A	山島台四丁目-B	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	山島台四丁目-B	四十万-A	四十万-A	兼六園下（北鉄車庫前）	南四十万二丁目	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	山島台四丁目-B	南部車庫-A	四十万-A	南四十万二丁目	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	山島台四丁目-B	南部車庫-A	四十万-A	山島台四丁目-B	南四十万二丁目	南部車庫-A	兼六園下（北鉄車庫前）			
備考		ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス			ノンステップバス				ノンステップバス				ノンステップバス	ノンステップバス									ノンステップバス							ノンステップバス			ノンステップバス			ノンステップバス					ノンステップバス								
南町-A	07:06	07:29	07:47	07:51	07:57	08:22	08:27	08:39	08:52	09:07	09:32	10:02	10:12	10:22	10:32	11:02	11:26	11:38	12:02	12:17	12:32	13:02	13:17	13:32	13:47	14:17	14:32	14:47	15:17	15:32	15:52	16:02	16:17	16:32	16:47	17:12	17:27	17:37	17:47	18:09	18:19	18:36	18:49	19:11	19:29	19:57	20:12	20:30	20:57	21:11	21:41	22:06			
香林坊（アトリオ前）	07:08	07:31	07:49	07:53	07:59	08:24	-	08:41	08:54	09:09	09:34	10:04	10:14	10:24	10:34	11:04	11:28	11:40	12:04	12:19	12:34	13:04	13:19	13:34	13:49	14:19	14:34	14:49	15:19	15:34	-	16:04	16:19	16:34	16:49	17:14	17:29	17:39	17:49	18:11	18:21	18:38	18:51	19:13	19:31	19:59	20:14	20:32	20:59	21:13	21:43	-			
香林坊（中央公園前）	-	-	-	-	07:59	-	08:29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:08			
片町（パシオン前）	07:09	07:33	07:51	07:55	-	08:26	-	08:43	08:56	09:11	09:36	10:06	10:16	10:26	10:36	11:06	11:30	11:42	12:06	12:21	12:36	13:06	13:21	13:36	13:51	14:21	14:36	14:51	15:21	15:36	-	16:06	16:21	16:36	16:51	17:16	17:31	17:41	17:51	18:13	18:23	18:40	18:53	19:15	19:33	20:01	20:16	20:34	21:01	21:14	21:44	-			
広小路（有松方向）	07:10	07:35	07:53	07:57	-	08:28	-	08:45	08:58	09:13	09:38	10:08	10:18	10:28	10:38	11:08	11:32	11:44	12:08	12:23	12:38	13:08	13:23	13:38	13:53	14:23	14:38	14:53	15:23	15:38	-	16:08	16:23	16:38	16:53	17:18	17:33	17:43	17:53	18:15	18:25	18:42	18:55	19:17	19:35	20:03	20:18	20:36	21:02	21:15	21:45	-			
野町-A	07:11	07:37	07:55	07:59	-	08:30	-	08:47	09:00	09:15	09:40	10:10	10:20	10:30	10:40	11:10	11:34	11:46	12:10	12:25	12:40	13:10	13:25	13:40	13:55	14:25	14:40	14:55	15:25	15:40	-	16:10	16:25	16:40	16:55	17:20	17:35	17:45	17:55	18:17	18:27	18:44	18:57	19:19	19:37	20:05	20:20	20:38	21:04	21:16	21:46	-			
泉一丁目-A	07:12	07:38	07:56	08:00	-	08:31	-	08:48	09:01	09:16	09:41	10:11	10:21	10:31	10:41	11:11	11:35	11:47	12:11	12:26	12:41	13:11	13:26	13:41	13:56	14:26	14:41	14:56	15:26	15:41	-	16:11	16:26	16:41	16:56	17:21	17:36	17:46	17:56	18:18	18:28	18:45	18:58	19:20	19:38	20:06	20:21	20:39	21:05	21:17	21:47	-			
泉二丁目-A	07:14	07:40	07:58	08:02	-	08:33	-	08:50	09:03	09:18	09:43	10:13	10:23	10:33	10:43	11:13	11:37	11:49	12:13	12:28	12:43	13:13	13:28	13:43	13:58	14:28	14:43	14:58	15:28	15:43	-	16:13	16:28	16:43	16:58	17:23	17:38	17:48	17:58	18:20	18:30	18:47	19:00	19:22	19:40	20:08	20:23	20:41	21:07	21:19	21:49	-			
有松（寺地方向）	07:16	07:42	08:00	08:04	-	08:35	-	08:52	09:05	09:20	09:45	10:15	10:25	10:35	10:45	11:15	11:39	11:51	12:15	12:30	12:45	13:15	13:30	13:45	14:00	14:30	14:45	15:00	15:30	15:45	-	16:15	16:30	16:45	17:00	17:25	17:40	17:50	18:00	18:22	18:32	18:49	19:02	19:24	19:42	20:10	20:25	20:43	21:08	21:21	21:51	-			
上有松-A	07:17	07:43	08:01	08:05	-	08:36	-	08:53	09:06	09:21	09:46	10:16	10:26	10:36	10:46	11:16	11:40	11:52	12:16	12:31	12:46	13:16	13:31	13:46	14:01	14:31	14:46	15:01	15:31	15:46	-	16:16	16:31	16:46	17:01	17:26	17:41	17:51	18:01	18:23	18:33	18:50	19:03	19:25	19:43	20:11	20:26	20:44	21:09	21:22	21:52	-			
