始発停留所	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	平和町市立病院	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町市立病院	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町市立病院	金大附校自衛隊前-B	平和町市立病院	平和町市立病院	平和町市立病院	金大附校自衛隊前-B	金大附校自衛隊前-B	平和町市立病院	平和町市立病院	金大附校自衛隊前-B	平和町市立病院	平和町市立病院	平和町市立病院			
六枚町（ガスト前）	05:58	06:16	06:46	07:01	07:32	-	07:45	07:52	08:03	08:08	-	08:13	08:23	08:28	08:34	09:14	09:18	09:52	13:22	13:37	15:16	15:34	15:54	16:14	16:20	16:29	16:39	16:49	17:24	17:34	17:50	18:17	18:27	18:37	18:51	19:16	19:29	19:39	20:01	20:45	22:11	22:42			
金沢駅【降車場】	06:07	06:25	06:55	07:10	07:43	-	07:56	08:03	08:14	08:19	-	08:24	08:34	08:39	08:45	09:22	09:26	10:00	13:30	13:45	15:27	15:45	16:07	16:27	16:33	16:42	16:52	17:02	17:37	17:47	18:03	18:30	18:33	18:43	19:00	19:25	19:35	19:45	20:10	20:50	22:16	22:47			
白菊町-A						07:30					08:01																																		
増泉一丁目-A						07:31					08:02																																		
増泉（新神田方向）						07:33					08:04																																		
新神田（大豆田方向）						07:36					08:07																																		
入江一丁目-B						07:38					08:09																																		
大豆田（金沢駅西口方向）						07:40					08:11																																		
元菊町-B						07:42					08:13																																		
広岡口（朱鷺の苑前）						07:44					08:15																																		
金沢駅西口降車						07:48					08:19																																		
金沢駅西口【６】						07:48					08:19																																		
広岡-A						07:50					08:21																																		
西念南-A						07:51					08:22																																		
西念西-A						07:52					08:23																																		
駅西合庁前（西念南から）						07:53					08:24																																		
県庁前-A						07:56					08:27																																		
中央病院前						08:10					08:41																																		
