始発停留所	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】	七尾駅前【６】			
松百新町-B	07:06	07:30	07:59	08:30	08:59	09:30	09:59	10:30	10:59	11:30	11:59	12:30	12:59	13:30	13:59	14:30	14:59	15:30	15:59	16:30	16:59	17:30	17:59	18:40	19:19	20:10	20:57			
津向町-B	07:07	07:31	08:00	08:31	09:00	09:31	10:00	10:31	11:00	11:31	12:00	12:31	13:00	13:31	14:00	14:31	15:00	15:31	16:00	16:31	17:00	17:31	18:00	18:41	19:20	20:11	20:58			
小島町三丁目-B	07:08	-	08:01	-	09:01	-	10:01	-	11:01	-	12:01	-	13:01	-	14:01	-	15:01	-	16:01	-	17:01	-	18:01	-	19:21	-	-			
小島橋-B	07:09	-	08:02	-	09:02	-	10:02	-	11:02	-	12:02	-	13:02	-	14:02	-	15:02	-	16:02	-	17:02	-	18:02	-	19:22	-	-			
小丸山公園下-B	07:10	-	08:03	-	09:03	-	10:03	-	11:03	-	12:03	-	13:03	-	14:03	-	15:03	-	16:03	-	17:03	-	18:03	-	19:23	-	-			
七尾車庫前-B	-	07:32	-	08:32	-	09:32	-	10:32	-	11:32	-	12:32	-	13:32	-	14:32	-	15:32	-	16:32	-	17:32	-	18:42	-	20:12	20:59			
つつじケ浜-B	-	07:33	-	08:33	-	09:33	-	10:33	-	11:33	-	12:33	-	13:33	-	14:33	-	15:33	-	16:33	-	17:33	-	18:43	-	20:13	21:00			
桜町-B	-	07:34	-	08:34	-	09:34	-	10:34	-	11:34	-	12:34	-	13:34	-	14:34	-	15:34	-	16:34	-	17:34	-	18:44	-	20:14	21:01			
寿町-B	-	07:34	-	08:34	-	09:34	-	10:34	-	11:34	-	12:34	-	13:34	-	14:34	-	15:34	-	16:34	-	17:34	-	18:44	-	20:14	21:02			
能登食祭市場-B	-	07:35	-	08:35	-	09:35	-	10:35	-	11:35	-	12:35	-	13:35	-	14:35	-	15:35	-	16:35	-	17:35	-	18:45	-	20:15	21:03			
桧物町-B	-	07:36	-	08:36	-	09:36	-	10:36	-	11:36	-	12:36	-	13:36	-	14:36	-	15:36	-	16:36	-	17:36	-	18:46	-	20:16	21:04			
七尾駅前【１】	07:15	07:40	08:10	08:40	09:10	09:40	10:10	10:40	11:10	11:40	12:10	12:40	13:10	13:40	14:10	14:40	15:10	15:40	16:10	16:40	17:10	17:40	18:10	18:50	19:30	20:20	21:05			
七尾駅前-G																														
七尾駅前【５】																														
小丸山公園下-C																														
七尾美術館前-A																														
西藤橋-B																														
岩屋（化石層）																														
能登総合病院																														
