終点停留所	東部車庫-A	東部車庫-A	東部車庫-A	辰巳丘高校-B	東部車庫-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A		
備考		ノンステップバス	学期休み期間のみ運行	学期休み期間、運休
ノンステップバス	ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス	学期休み期間のみ運行	学期休み期間、運休
ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間のみ運行	学期休み期間、運休			ノンステップバス		ノンステップバス			ノンステップバス			ノンステップバス		ノンステップバス		ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス			ノンステップバス						ノンステップバス	ノンステップバス		ノンステップバス								ノンステップバス			
笠舞二丁目-A	07:16	07:31	07:41	-	07:48	07:53	07:58	08:03	08:08	08:13	08:21	08:31	08:41	08:41	08:51	09:01	09:11	09:21	09:28	09:36	09:51	10:06	10:21	10:21	10:36	10:51	11:06	11:21	11:36	11:51	12:06	12:21	12:36	12:51	13:06	13:21	13:36	13:51	14:06	14:21	14:36	14:51	15:06	15:21	15:36	15:51	16:06	16:21	16:36	16:52	17:07	17:22	17:37	17:52	18:07	18:22	18:42	18:32	18:51	19:01	19:11	19:21	19:31	19:41	19:49	20:09	19:59	20:20	20:35	20:50	21:05	21:20	21:35	21:55	22:15	22:35	23:00	23:40		
笠舞一丁目-A	07:17	07:32	07:42	-	07:49	07:54	07:59	08:04	08:09	08:14	08:22	08:32	08:42	08:42	08:52	09:02	09:12	09:22	09:29	09:37	09:52	10:07	10:22	10:22	10:37	10:52	11:07	11:22	11:37	11:52	12:07	12:22	12:37	12:52	13:07	13:22	13:37	13:52	14:07	14:22	14:37	14:52	15:07	15:22	15:37	15:52	16:07	16:22	16:37	16:53	17:08	17:23	17:38	17:53	18:08	18:23	18:43	18:33	18:52	19:02	19:12	19:22	19:32	19:42	19:50	20:10	20:00	20:21	20:36	20:51	21:06	21:21	21:36	21:56	22:16	22:36	23:01	23:41		
赤坂-A	07:18	07:33	07:43	-	07:50	07:55	08:00	08:05	08:10	08:15	08:23	08:33	08:43	08:43	08:53	09:03	09:13	09:23	09:30	09:38	09:53	10:08	10:23	10:23	10:38	10:53	11:08	11:23	11:38	11:53	12:08	12:23	12:38	12:53	13:08	13:23	13:38	13:53	14:08	14:23	14:38	14:53	15:08	15:23	15:38	15:53	16:08	16:23	16:38	16:54	17:09	17:24	17:39	17:54	18:09	18:24	18:44	18:34	18:53	19:03	19:13	19:23	19:33	19:43	19:51	20:11	20:01	20:22	20:37	20:52	21:07	21:22	21:37	21:57	22:17	22:37	23:02	23:42		
三口新町-A	07:19	07:34	07:44	-	07:51	07:56	08:01	08:06	08:11	08:16	08:24	08:34	08:44	08:44	08:54	09:04	09:14	09:24	09:31	09:39	09:54	10:09	10:24	10:24	10:39	10:54	11:09	11:24	11:39	11:54	12:09	12:24	12:39	12:54	13:09	13:24	13:39	13:54	14:09	14:24	14:39	14:54	15:09	15:24	15:39	15:54	16:09	16:24	16:39	16:55	17:10	17:25	17:40	17:55	18:10	18:25	18:45	18:35	18:54	19:04	19:14	19:24	19:34	19:44	19:52	20:12	20:02	20:23	20:38	20:53	21:08	21:23	21:38	21:58	22:18	22:38	23:03	23:43		
花里住宅-A	07:20	07:35	07:45	-	07:52	07:57	08:02	08:07	08:12	08:17	08:25	08:35	08:45	08:45	08:55	09:05	09:15	09:25	09:32	09:40	09:55	10:10	10:25	10:25	10:40	10:55	11:10	11:25	11:40	11:55	12:10	12:25	12:40	12:55	13:10	13:25	13:40	13:55	14:10	14:25	14:40	14:55	15:10	15:25	15:40	15:55	16:10	16:25	16:40	16:56	17:11	17:26	17:41	17:56	18:11	18:26	18:46	18:36	18:55	19:05	19:15	19:25	19:35	19:45	19:53	20:13	20:03	20:24	20:39	20:54	21:09	21:24	21:39	21:59	22:19	22:39	23:04	23:44		
涌波三丁目-A	07:21	07:36	07:46	-	07:53	07:58	08:03	08:08	08:13	08:18	08:26	08:36	08:46	08:46	08:56	09:06	09:16	09:26	09:33	09:41	09:56	10:11	10:26	10:26	10:41	10:56	11:11	11:26	11:41	11:56	12:11	12:26	12:41	12:56	13:11	13:26	13:41	13:56	14:11	14:26	14:41	14:56	15:11	15:26	15:41	15:56	16:11	16:26	16:41	16:57	17:12	17:27	17:42	17:57	18:12	18:27	18:47	18:37	18:56	19:06	19:16	19:26	19:36	19:46	19:54	20:14	20:04	20:25	20:40	20:55	21:10	21:25	21:40	22:00	22:20	22:40	23:05	23:45		
涌波二丁目-A	07:22	07:37	07:47	-	07:54	07:59	08:04	08:09	08:14	08:19	08:27	08:37	08:47	08:47	08:57	09:07	09:17	09:27	09:34	09:42	09:57	10:12	10:27	10:27	10:42	10:57	11:12	11:27	11:42	11:57	12:12	12:27	12:42	12:57	13:12	13:27	13:42	13:57	14:12	14:27	14:42	14:57	15:12	15:27	15:42	15:57	16:12	16:27	16:42	16:58	17:13	17:28	17:43	17:58	18:13	18:28	18:48	18:38	18:57	19:07	19:17	19:27	19:37	19:47	19:55	20:15	20:05	20:26	20:41	20:56	21:11	21:26	21:41	22:01	22:21	22:41	23:06	23:46		
涌波一丁目-A	07:23	07:38	07:48	-	07:55	08:00	08:05	08:10	08:15	08:20	08:28	08:38	08:48	08:48	08:58	09:08	09:18	09:28	09:35	09:43	09:58	10:13	10:28	10:28	10:43	10:58	11:13	11:28	11:43	11:58	12:13	12:28	12:43	12:58	13:13	13:28	13:43	13:58	14:13	14:28	14:43	14:58	15:13	15:28	15:43	15:58	16:13	16:28	16:43	16:59	17:14	17:29	17:44	17:59	18:14	18:29	18:49	18:39	18:58	19:08	19:18	19:28	19:38	19:48	19:56	20:16	20:06	20:27	20:42	20:57	21:12	21:27	21:42	22:02	22:22	22:42	23:07	23:47		
大道割-A	07:25	07:40	07:50	-	07:57	08:02	08:07	08:12	08:17	08:22	08:30	08:40	08:50	08:50	09:00	09:10	09:20	09:30	09:37	09:45	10:00	10:15	10:30	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:01	17:16	17:31	17:46	18:01	18:16	18:31	18:51	18:41	19:00	19:10	19:20	19:30	19:40	19:50	19:58	20:18	20:08	20:29	20:44	20:59	21:14	21:29	21:44	22:04	22:24	22:44	23:09	23:49		
永安町（東部車庫方向）	07:26	07:41	07:51	-	07:58	08:03	08:08	08:13	08:18	08:23	08:31	08:41	08:51	08:51	09:01	09:11	09:21	09:31	09:38	09:46	10:01	10:16	10:31	10:31	10:46	11:01	11:16	11:31	11:46	12:01	12:16	12:31	12:46	13:01	13:16	13:31	13:46	14:01	14:16	14:31	14:46	15:01	15:16	15:31	15:46	16:01	16:16	16:31	16:46	17:02	17:17	17:32	17:47	18:02	18:17	18:32	18:52	18:42	19:01	19:11	19:21	19:31	19:41	19:51	19:59	20:19	20:09	20:30	20:45	21:00	21:15	21:30	21:45	22:05	22:25	22:45	23:10	23:50		
末-A	07:27	07:42	07:52	-	07:59	08:04	08:09	08:14	08:19	08:24	08:32	08:42	08:52	08:52	09:02	09:12	09:22	09:32	09:39	09:47	10:02	10:17	10:32	10:32	10:47	11:02	11:17	11:32	11:47	12:02	12:17	12:32	12:47	13:02	13:17	13:32	13:47	14:02	14:17	14:32	14:47	15:02	15:17	15:32	15:47	16:02	16:17	16:32	16:47	17:03	17:18	17:33	17:48	18:03	18:18	18:33	18:53	18:43	19:02	19:12	19:22	19:32	19:42	19:52	20:00	20:20	20:10	20:31	20:46	21:01	21:16	21:31	21:46	22:06	22:26	22:46	23:11	23:51		
