終点時間	07:29	07:59	08:19	08:36	08:54	09:22	09:34	09:54	10:22	10:45	10:56	11:44	11:39	12:07	12:19	12:39	12:59	13:27	13:50	13:59	14:21	14:47	14:59	15:32	15:47	15:59	16:19	16:52	16:59	17:44	17:29	17:39	18:12	18:19	18:39	18:56	19:22	19:34	19:56	20:39	20:45	20:54	21:30	21:52	22:30	22:52				
終点停留所	光が丘住宅	光が丘住宅	光が丘住宅	光が丘住宅	光が丘住宅	額住宅駅	鶴寿園	光が丘住宅	額住宅駅	南部車庫-A	光が丘住宅	下森島-B	光が丘住宅	額住宅駅	鶴寿園	光が丘住宅	光が丘住宅	額住宅駅	南部車庫-A	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	南部車庫-A	額住宅駅	光が丘住宅	光が丘住宅	南部車庫-A	光が丘住宅	下森島-B	光が丘住宅	光が丘住宅	南部車庫-A	光が丘住宅	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	光が丘住宅	下森島-B	南部車庫-A	光が丘住宅	額住宅駅	光が丘住宅	額住宅駅	光が丘住宅				
備考						ノンステップバス															ノンステップバス						ノンステップバス																							
県庁前-B																																																		
駅西合庁前（西念南方向）																																																		
西念西-B																																																		
西念南-B																																																		
広岡-B																																																		
金沢駅西口【５】																																																		
窪（郊外方向）	07:19	07:49	08:06	08:21	08:41	09:05	09:21	09:41	10:05	10:21	10:41	11:06	11:24	11:46	12:03	12:24	12:44	13:06	13:24	13:44	14:04	14:26	14:44	15:04	15:26	15:44	16:04	16:24	16:44	17:06	17:14	17:24	17:44	18:04	18:24	18:41	19:05	19:21	19:41	20:03	20:20	20:40	21:11	21:39	22:11	22:39				
窪南（郊外方向）	07:20	07:50	08:07	08:22	08:42	09:06	09:22	09:42	10:06	10:22	10:42	11:07	11:25	11:47	12:04	12:25	12:45	13:07	13:25	13:45	14:05	14:27	14:45	15:05	15:27	15:45	16:05	16:25	16:45	17:07	17:15	17:25	17:45	18:05	18:25	18:42	19:06	19:22	19:42	20:04	20:21	20:41	21:12	21:40	22:12	22:40				
高尾新町-A	07:21	07:51	08:08	08:23	08:43	09:07	09:23	09:43	10:07	10:23	10:43	11:08	11:26	11:48	12:05	12:26	12:46	13:08	13:26	13:46	14:06	14:28	14:46	15:06	15:28	15:46	16:06	16:26	16:46	17:08	17:16	17:26	17:46	18:06	18:26	18:43	19:07	19:23	19:43	20:05	20:22	20:42	21:13	21:41	22:13	22:41				
高尾南一丁目-A	07:22	07:52	08:09	08:24	08:44	09:08	09:24	09:44	10:08	10:24	10:44	11:09	11:27	11:49	12:06	12:27	12:47	13:09	13:27	13:47	14:07	14:29	14:47	15:07	15:29	15:47	16:07	16:27	16:47	17:09	17:17	17:27	17:47	18:07	18:27	18:44	19:08	19:24	19:44	20:06	20:23	20:43	21:14	21:42	22:14	22:42				
高尾南三丁目-A	07:23	07:53	08:10	-	08:45	09:09	-	09:45	10:09	10:25	-	11:10	11:28	11:50	-	12:28	12:48	13:10	13:28	13:48	-	14:30	14:48	-	15:30	15:48	16:08	-	16:48	17:10	17:18	17:28	-	18:08	18:28	-	19:09	19:25	-	20:07	20:24	20:44	21:15	21:43	22:15	22:43				
高尾南二丁目-A	-	-	-	08:25	-	-	09:25	-	-	-	10:45	-	-	-	12:07	-	-	-	-	-	14:08	-	-	15:08	-	-	-	16:28	-	-	-	-	17:48	-	-	18:45	-	-	19:45	-	-	-	-	-	-	-				
金沢国際ホテル前-A	-	-	-	08:26	-	-	09:26	-	-	-	10:46	-	-	-	12:08	-	-	-	-	-	14:09	-	-	15:09	-	-	-	16:29	-	-	-	-	17:49	-	-	18:46	-	-	19:46	-	-	-	-	-	-	-				
大額新町-A	-	-	-	08:27	-	-	09:27	-	-	-	10:47	-	-	-	12:09	-	-	-	-	-	14:10	-	-	15:10	-	-	-	16:30	-	-	-	-	17:50	-	-	18:47	-	-	19:47	-	-	-	-	-	-	-				
鶴寿園	-	-	-	-	-	-	09:34	-	-	-	-	-	-	-	12:19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
額谷一丁目-B	-	-	-	08:28	-	-		-	-	-	10:48	-	-	-		-	-	-	-	-	14:11	-	-	15:11	-	-	-	16:31	-	-	-	-	17:51	-	-	18:48	-	-	19:48	-	-	-	-	-	-	-				
大額三丁目-B	-	-	-	08:29	-	-		-	-	-	10:49	-	-	-		-	-	-	-	-	14:12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:49	-	-	19:49	-	-	-	-	-	-	-				
光が丘口（額住宅駅方向）	-	-	-	-	-	09:10		-	10:10	-	-	11:11	-	11:51		-	-	13:11	-	-	-	14:31	-	-	15:31	-	-	-	-	17:11	-	-	-	-	-	-	19:10	-	-	20:08	-	-	21:16	-	22:16	-				
光が丘口（四十万方向）	07:24	07:54	08:11	-	08:46	-		09:46	-	10:26	-	-	11:29	-		12:29	12:49	-	13:29	13:49	-	-	14:49	-	-	15:49	16:09	-	16:49	-	17:19	17:29	-	18:09	18:29	-	-	19:26	-	-	20:25	20:45	-	21:44	-	22:44				
大額二丁目-A	07:25	07:55	08:12	-	08:47	-		09:47	-	10:27	-	-	11:30	-		12:30	12:50	-	13:30	13:50	-	-	14:50	-	-	15:50	16:10	-	16:50	-	17:20	17:30	-	18:10	18:30	-	-	19:27	-	-	20:26	20:46	-	21:45	-	22:45				
光が丘住宅	07:29	07:59	08:19	08:36	08:54	-		09:54	-	-	10:56	-	11:39	-		12:39	12:59	-	-	13:59	14:21	-	14:59	-	-	15:59	16:19	-	16:59	-	17:29	17:39	-	18:19	18:39	18:56	-	19:34	19:56	-	-	20:54	-	21:52	-	22:52				
大額三丁目-A						-			-	10:28		-		-				-	13:31			-		-	-			-		-			-				-			-	20:27		-		-					
額中学校前-A						-			-	10:29		-		-				-	13:32			-		15:12	-			16:32		-			17:52				-			-	20:28		-		-					
しじま台-A						-			-	10:30		-		-				-	13:33			-		15:13	-			16:33		-			17:53				-			-	20:29		-		-					
四十万-C						-			-	10:31		-		-				-	13:34			-		15:14	-			16:34		-			17:54				-			-	20:30		-		-					
四十万五丁目-A						-			-	10:32		-		-				-	13:35			-		15:15	-			16:35		-			17:55				-			-	20:31		-		-					
額新町-A						09:11			10:11	-		11:12		11:52				13:12	-			14:32		-	15:32			-		17:12			-				19:11			20:09	-		21:17		22:17					
額住宅駅						09:22			10:22	-		11:14		12:07				13:27	-			14:47		-	15:47			-		17:14			-				19:22			20:11	-		21:30		22:30					
大額１丁目（下森島方向）										-		11:15							-					-				-		17:15			-							20:12	-									
額新保三丁目-A										-		11:16							-					-				-		17:16			-							20:13	-									
粟田-A										-		11:17							-					-				-		17:17			-							20:14	-									
下新庄-A										10:34		11:19							13:37					15:17				16:37		17:19			17:57							20:16	20:33									
四十万-A										-		-							-					-				-		-			-							-	-									
中四十万（南部車庫方向）										-		-							-					-				-		-			-							-	-									
加賀産新庄-A										10:35		11:20							13:38					15:18				16:38		17:20			17:58							20:17	20:34									
加賀産上林-A										10:36		-							13:39					15:19				16:39		-			17:59							-	20:35									
南部車庫-A										10:45		-							13:50					15:32				16:52		-			18:12							-	20:45									
百々鶴荘前-A												11:22																		17:22										20:19										
富光寺住宅前												11:23																		17:23										20:20										
深瀬新町-A												11:25																		17:25										20:22										
七原町-A												11:26																		17:26										20:23										
日向団地-A												11:28																		17:28										20:25										
上森島-B												11:29																		17:29										20:26										
下森島-B												11:44																		17:44										20:39										
